SCENARIO	INSTANCE	SEC_OBJECTIVE	NUM_VEHICLES	TOTAL_TRAVEL_TIME	TOTAL_TRAVELED_DISTANCE	CONFIGURATION
A1	c106	Distance	11	936.171828682353	1057.65475081609	D0;C20;C21;C24;C26;C29;C27;C25;C9;C10;C8;C7;D0;D0;S0;C63;C67;C68;C1;C3;C5;C6;C2;C4;D0;D0;C0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C64;C62;S0;C72;C69;C70;C75;C77;C80;S0;D0;D0;C58;C59;C57;C55;C52;S0;C53;C54;C56;D0;D0;C40;C39;C41;C43;C44;C47;C45;C46;C42;D0;D0;C66;C61;C73;S0;C78;C76;C79;C71;C60;C65;D0;D0;C19;C23;C33;C35;C38;C37;C36;C34;S0;C51;D0;D0;S0;C11;C13;C15;C18;C17;C16;C14;C12;D0;D0;C89;C86;C85;C82;C81;C83;C84;C87;C88;C90;D0;D0;C74;C22;C28;C31;C32;C30;S0;C50;C49;C48;D0
A1	c106	TravelTime	11	908.484446984519	1084.97707086509	D0;C19;C33;C35;C38;C37;C36;C34;S0;D0;D0;C22;C24;C28;C31;C32;C30;S0;C50;C49;C51;C48;D0;D0;C62;C61;C73;S0;C78;C76;C79;C71;C60;C65;D0;D0;C20;C21;C23;C26;C29;C27;C25;C9;C8;C7;C2;C4;D0;D0;C86;S0;S0;C72;C69;C70;C75;C77;C80;D0;D0;C74;C89;C85;S0;C81;C82;C83;C84;C87;C88;C90;D0;D0;S0;C40;C39;C41;C43;C1;C3;C5;C6;D0;D0;S0;C11;C13;C15;C18;C17;C16;C14;C12;C10;D0;D0;C66;C64;C63;C67;C68;C44;C47;C45;C46;C42;D0;D0;C0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;S0;C58;C59;C57;C55;C52;S0;C53;C54;C56;D0
A1	c107	Distance	11	904.590646953473	1031.55683809138	D0;C39;C41;C43;C31;C32;C30;S0;C50;C49;C48;D0;D0;C58;C59;C57;C55;C52;S0;C53;C54;C56;D0;D0;C40;S0;C63;C67;C68;C44;C47;C45;C46;C42;D0;D0;C22;S0;C11;C13;C15;C18;C17;C16;C14;C12;D0;D0;C64;C62;C61;S0;C78;C76;C79;C71;C60;C65;D0;D0;C20;C21;C24;C26;C29;C27;C25;C9;C10;C8;C7;D0;D0;C74;C0;C1;C3;C5;C6;C2;C4;D0;D0;C19;C23;C28;C33;C35;C38;C37;C36;C34;S0;C51;D0;D0;C66;C73;S0;C72;C69;C70;C75;C77;C80;S0;D0;D0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C89;C86;C85;C81;C82;C83;C84;C87;C88;C90;D0
A1	c107	TravelTime	11	896.025145200991	1051.07389001109	D0;C64;C73;C63;C67;C68;C44;C47;C45;C46;C42;D0;D0;S0;C72;C69;C70;C75;C77;C80;S0;D0;D0;C40;C41;C43;C31;C32;C30;S0;C50;C49;C48;D0;D0;C39;C58;C59;C57;C55;C52;S0;C71;C60;C65;D0;D0;C89;C86;C85;C81;C82;C83;C84;C87;C88;C90;D0;D0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C22;S0;C11;C13;C15;C18;C17;C16;C14;C12;D0;D0;C74;C0;C1;C3;C5;C6;C2;C4;D0;D0;C66;C62;C61;S0;C78;C76;C79;S0;C53;C54;C56;D0;D0;C19;C23;C28;C33;C35;C38;C37;C36;C34;S0;C51;D0;D0;C20;C21;C24;C26;C29;C27;C25;C9;C10;C8;C7;D0
A1	c108	Distance	10	968.882256908572	1116.49546866002	D0;C23;C28;C33;C32;C35;C38;C37;C36;C34;S0;C51;D0;D0;C61;C63;C67;C41;C43;C44;C47;C45;C46;C42;D0;D0;C89;C86;C85;S0;C81;C82;C83;C84;C87;C88;C90;C7;D0;D0;C66;C64;C62;C68;S0;C75;C77;C80;C71;C60;C65;D0;D0;C20;C22;C26;C29;S0;C17;C18;C14;C16;C12;C10;C8;D0;D0;C0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C73;S0;C72;C69;C70;C78;C76;C79;S0;C56;D0;D0;C19;C21;C24;C27;C31;C30;S0;C25;C50;C49;C48;D0;D0;C74;S0;C11;C13;C15;C1;C3;C5;C9;C6;C2;C4;D0;D0;C40;C39;C58;C59;C57;C55;C52;S0;C53;C54;D0
A1	c108	TravelTime	10	1011.90578566019	1144.76525032064	D0;C89;C86;S0;C81;C76;C78;C79;S0;C71;C60;C65;D0;D0;C20;C21;C24;C28;C26;C29;C27;C25;C9;C10;C8;C7;D0;D0;C66;C73;C63;C67;S0;C68;C82;C83;C84;C87;C88;C90;D0;D0;C0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C74;C85;S0;C72;C69;C70;C75;C77;C80;S0;D0;D0;C64;C62;C61;S0;C43;C44;C1;C3;C5;C6;C2;C4;D0;D0;C22;S0;C11;C13;C15;C18;C17;C16;C14;C12;D0;D0;S0;C39;C58;C59;C57;C55;C52;S0;C53;C50;C49;C51;D0;D0;C19;C23;C33;C35;C38;C37;C36;C34;S0;C54;C56;D0;D0;S0;C40;C41;S0;C31;C32;C30;C47;C45;C46;C42;C48;D0
A1	c109	Distance	10	878.417129252641	994.399191608745	D0;C66;C40;C39;C41;C43;C44;C47;C45;C48;C46;C42;D0;D0;C0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C62;C61;C63;C67;C68;S0;C76;C79;C71;C60;C65;D0;D0;C89;C86;C85;C82;C81;C83;C84;C87;C88;C90;D0;D0;S0;C58;C59;C57;C55;C52;C53;C54;C56;S0;D0;D0;C21;C24;C26;C29;C27;C25;C30;S0;C50;C49;C51;D0;D0;C64;C73;S0;C78;C72;C69;C70;C75;C77;C80;S0;D0;D0;C19;C20;C22;C74;C1;C3;C5;C9;C10;C7;C6;C2;C4;D0;D0;C23;C28;C31;C32;C33;C35;C38;C37;C36;C34;S0;D0;D0;S0;C11;C13;C15;C18;C17;C16;C14;C12;C8;D0
A1	c109	TravelTime	10	851.705770376391	1000.9678299837	D0;C66;C40;C39;C41;C43;C45;C44;C47;C50;C49;C51;C48;D0;D0;C0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C62;C63;C67;C68;S0;C78;C76;C79;C71;C60;C65;D0;D0;C89;C86;C85;C81;C82;C83;C84;C87;C88;C90;D0;D0;S0;C33;C31;C32;C30;C35;C38;C37;C36;C34;S0;D0;D0;S0;C58;C59;C57;C55;C52;C53;C54;C56;S0;D0;D0;S0;C11;C13;C15;C18;C14;C17;C16;C12;C8;D0;D0;C64;C61;C73;S0;C72;C69;C70;C75;C77;C80;S0;D0;D0;C19;C20;C22;C74;C1;C3;C5;C9;C10;C7;C6;C2;C4;D0;D0;C21;C24;C23;C28;C26;C29;C27;C25;C46;C42;D0
A1	c201	Distance	4	528.821215123917	633.978921718343	D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0;D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C62;C66;D0;D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0;D0;C47;C42;C40;C41;C46;S0;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;S0;C53;C54;C48;C64;C67;C63;C60;C71;C73;C61;C65;C68;D0
A1	c201	TravelTime	4	528.142190052258	636.544050964642	D0;C47;C42;C40;C41;C46;S0;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;C53;C54;C48;C64;C67;C63;C60;C71;C73;D0;D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0;D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0;D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C62;C66;C61;C65;C68;D0
